oln_id	uniprot_acc	gene_name	description	synonyms
YLR156C-A	P0CY03		Uncharacterized protein YLR156C-A	
YLR169W	O13561		Putative uncharacterized protein YLR169W	
YLR171W	O13562		Putative uncharacterized protein YLR171W	
YLR184W	Q06267		Putative uncharacterized protein YLR184W	
YLR194C	Q05777		Cell wall protein YLR194C precursor	
YLR410W-B	P0C2J3	TY2B-LR1	Transposon Ty2-LR1 Gag-Pol polyprotein	YLRWTy2-1 POL
YLR255C	O13574		Putative uncharacterized protein YLR255C	
YLR278C	Q05854		Uncharacterized transcriptional regulatory protein YLR278C	
YLR285C-A	Q3E771		Uncharacterized protein YLR285C-A	
YLR294C	O13543		Putative uncharacterized protein YLR294C	
YLR317W	O13553		Putative uncharacterized protein YLR317W	
YLR342W-A	Q3E810		Uncharacterized protein YLR342W-A	
YLR347W-A	Q8TGM2		Putative uncharacterized protein YLR347W-A	
YLR361C-A	Q3E795		Uncharacterized protein YLR361C-A	
YLR363W-A	Q3E747		Uncharacterized protein YLR363W-A	
YLR379W	O13579		Putative uncharacterized protein YLR379W	
YLR402W	Q06057		Putative uncharacterized protein YLR402W	
YLR149C-A	P0C5P8		Putative uncharacterized protein YLR149C-A	
YLR154W-F	P0C5Q0		Putative uncharacterized protein YLR154W-F	
YLL067W-A	P0CY01		UPF0479 membrane protein YLL067W-A	
YHL014C	P38746	YLF2	Obg-like ATPase homolog	
YPR125W	Q06493	YLH47	LETM1 domain-containing protein YLH47, mitochondrial precursor	MRS7
YML057C-A	P0C261		Putative uncharacterized membrane protein YML057C-A	
YMR119W-A	A0A023PZL2		Putative uncharacterized membrane protein YMR119W-A {ECO:0000305} precursor	
YML045W-A	Q04706	TY1A-ML1	Transposon Ty1-ML1 Gag polyprotein	YMLWTy1-1 GAG
YMR122W-A	Q3E842		Uncharacterized endoplasmic reticulum membrane protein YMR122W-A	
YMR135W-A	Q6B0X1		Putative uncharacterized protein YMR135W-A	
YMR045C	Q04214	TY1B-MR1	Transposon Ty1-MR1 Gag-Pol polyprotein	YMRCTy1-3 POL
YMR307C-A	P0C5Q5		Putative uncharacterized protein YMR307C-A	
YMR316C-B	A0A023PXQ9		Putative uncharacterized membrane protein YMR316C-B {ECO:0000305}	
YMR160W	Q03823		Uncharacterized protein YMR160W	
YMR178W	Q03219		Uncharacterized protein YMR178W	
YMR315W	Q04869		Uncharacterized protein YMR315W	
YML079W	Q03629		Uncharacterized protein YML079W	
YML090W	Q04501		Putative uncharacterized protein YML090W	
YML108W	Q03759		Uncharacterized protein YML108W	
YML119W	Q03208		Uncharacterized protein YML119W	
YML131W	Q03102		Uncharacterized membrane protein YML131W	
YMR034C	Q05131		Uncharacterized membrane protein YMR034C	
YNL260C	P53846		Uncharacterized ORAOV1 family protein YNL260C	
YNR034W-A	Q3E841		Uncharacterized protein YNR034W-A	
YNR073C	P0CX09		Mannitol dehydrogenase YNR073C	
YNL284C-A	Q12391	TY1A-NL1	Transposon Ty1-NL1 Gag polyprotein	YNLCTy1-1 GAG
YNL144W-A	Q8TGL9		Putative uncharacterized protein YNL144W-A	
YOR064C	Q08465	YNG1	Protein YNG1	
YNL143C	P53908		Uncharacterized membrane protein YNL143C	
YNL208W	P40159		Uncharacterized protein YNL208W	
YNL217W	P40152		Putative metallophosphoesterase YNL217W precursor	
YNL235C	P53856		Putative uncharacterized protein YNL235C	
YOR020W-A	Q3E824		Uncharacterized protein YOR020W-A	
YOR032W-A	Q8TGS1		Uncharacterized protein YOR032W-A	
YOL079W	Q08238		Putative uncharacterized membrane protein YOL079W	
YOL085C	Q99345		Putative uncharacterized protein YOL085C	
YOR008W-B	P0C5Q9		Putative uncharacterized protein YOR008W-B	
YOL099C	Q08240		Putative uncharacterized membrane protein YOL099C	
YOL114C	Q12322		Putative uncharacterized protein YOL114C	
YOR142W-A	P0CX59	TY1A-OR	Transposon Ty1-OR Gag polyprotein	YORWTy1-2 GAG
YOR139C	Q08532		Putative uncharacterized protein YOR139C precursor	
YOL159C	Q08300		Uncharacterized protein YOL159C	
YOR161C-C	Q8TGS0		Uncharacterized protein YOR161C-C	
YOL166W-A	Q8TGJ1		UPF0320 protein YOL166W-A	
YOR200W	Q08620		Putative uncharacterized protein YOR200W	
YOR218C	Q12249		Putative uncharacterized protein YOR218C	
YOR223W	Q12015		Transmembrane protein YOR223W	
YOR263C	Q08728		Putative uncharacterized protein YOR263C	
YOR329W-A	P0C5R1		Putative uncharacterized protein YOR329W-A	
YOR345C	Q08811		Putative uncharacterized protein YOR345C	
YOR381W-A	Q3E804		Uncharacterized protein YOR381W-A	
YOR390W	Q08913		UPF0695 membrane protein YOR390W	
YOR161W-B	Q8TGL4		Putative uncharacterized protein YOR161W-B	
YOR097C	Q12274		Uncharacterized protein YOR097C	
YPR016W-A	P0C5R5		Putative uncharacterized protein YPR016W-A	
YPR027C	Q12079		Uncharacterized membrane protein YPR027C	
YPR050C	A0A023PZM3		Putative uncharacterized membrane protein YPR050C {ECO:0000305}	
YPL080C	Q02826		Putative uncharacterized protein YPL080C	
YPR089W	O13585		Dilute domain-containing protein YPR089W	
YPR092W	O13586		Putative uncharacterized protein YPR092W	
YPR099C	O13548		Putative uncharacterized protein YPR099C	
YPL107W	Q02873		UPF0651 protein YPL107W, mitochondrial precursor	
YPL119C-A	Q3E751		Uncharacterized protein YPL119C-A	
YPL257W-B	Q12414	TY1B-PL	Transposon Ty1-PL Gag-Pol polyprotein	YPLWTy1-1 POL
YPR159C-A	Q8TGQ7		Uncharacterized protein YPR159C-A	
YPR170C	A0A023PYK2		Putative uncharacterized membrane protein YPR170C	
YPR170W-A	P0C5R8		Putative uncharacterized protein YPR170W-A	
YPR203W	Q08994		Putative uncharacterized protein YPR203W	
YPL216W	Q08964		Putative ISWI chromatin-remodeling complex subunit YPL216W	
YPL272C	Q08984		Uncharacterized protein YPL272C	
YPL279C	Q08991		UPF0695 membrane protein YPL279C	
YDL235C	Q07688	YPD1	Phosphorelay intermediate protein YPD1	
YBL029C-A	Q3E756		UPF0768 protein YBL029C-A	
YBL068W-A	P0C5L1		Putative uncharacterized protein YBL068W-A	
YBR076C-A	P0C5L2		Putative uncharacterized protein YBR076C-A	
YBL109W	P89495		Putative uncharacterized protein YBL109W	
YBL005W-A	Q12266	TY1A-BL	Transposon Ty1-BL Gag polyprotein	YBLWTy1-1 GAG
YBR121C-A	P0C5L4		Uncharacterized protein YBR121C-A	
YBR131C-A	Q8TGQ5		Putative uncharacterized protein YBR131C-A	
YBR191W-A	P0C5L5		Putative uncharacterized protein YBR191W-A	
YBL100W-A	Q12260	TY2A-B	Transposon Ty2-B Gag polyprotein	YBLWTy2-1 GAG
YBR221W-A	Q3E781		Uncharacterized protein YBR221W-A	
YBR296C-A	Q8TGU5		Uncharacterized protein YBR296C-A	
YBR196C-B	Q3E778		Uncharacterized protein YBR196C-B	
YBL044W	P38194		Uncharacterized protein YBL044W	
YBL055C	P34220		Deoxyribonuclease Tat-D	
YBR013C	P38215		Putative uncharacterized protein YBR013C precursor	
YBR051W	P38233		Putative uncharacterized protein YBR051W	
YBR089W	P38252		Putative uncharacterized protein YBR089W	
YBR096W	P38256		Uncharacterized protein YBR096W	
YBR134W	P38275		Putative uncharacterized protein YBR134W	
YBR137W	P38276		UPF0303 protein YBR137W	
YCL001W-B	Q96VH2		Putative pelota-like protein YCL001W-B	
YCR038W-A	Q96VG8		Putative uncharacterized protein YCR038W-A	
YCR108C	Q3E819		Uncharacterized protein YCR108C	
YCL042W	P25572		Putative uncharacterized protein YCL042W	
YGR203W	P42937	YCH1	CDC25-like phosphatase YCH1	
YCR013C	P25614		Putative uncharacterized protein YCR013C	
YCR025C	P25352		Putative uncharacterized protein YCR025C	
YCR043C	P25361		Uncharacterized protein YCR043C	
YCR051W	P25631		Ankyrin repeat-containing protein YCR051W	
YDL011C	Q12023		Putative uncharacterized protein YDL011C	
YDR018C	Q12185		Uncharacterized acyltransferase YDR018C	
YDR053W	Q07790		Putative uncharacterized protein YDR053W precursor	
YDL062W	Q07410		Putative uncharacterized protein YDL062W	
YDR095C	Q03831		Putative uncharacterized protein YDR095C	
YDL158C	Q12047		Putative uncharacterized protein YDL158C	
YDL176W	Q12027		Uncharacterized protein YDL176W	
YDR170W-A	Q03964	TY1A-DR2	Transposon Ty1-DR2 Gag polyprotein	
YDL183C	P48569		Uncharacterized protein YDL183C	
YDR210W	Q03482		Cysteine-rich and transmembrane domain-containing protein YDR210W	
YDR210W-A	Q03483	TY2A-DR2	Transposon Ty2-DR2 Gag polyprotein	YDRWTy2-2 GAG
YDR239C	Q03780		Uncharacterized protein YDR239C	
YDR261W-B	Q07791	TY2B-DR3	Transposon Ty2-DR3 Gag-Pol polyprotein	YDRWTy2-3 POL
YDR278C	Q05612		Putative uncharacterized protein YDR278C	
YDR340W	Q05503		Putative uncharacterized protein YDR340W	
YDL026W	Q12147		Putative uncharacterized protein YDL026W	
YDR222W	Q04925		SVF1-like protein YDR222W	
YEL075W-A	P89888		Putative uncharacterized protein YEL075W-A	
YEL077C	Q3E7X8		Y' element ATP-dependent helicase YEL077C	
YER079C-A	A0A023PZB8		Putative uncharacterized membrane protein YER079C-A {ECO:0000305}	
YER088W-B	Q8TGR4		Putative uncharacterized protein YER088W-B	
YER181C	P40097		Uncharacterized protein YER181C, mitochondrial	
YER133W-A	A0A023PZC3		Putative uncharacterized protein YER133W-A {ECO:0000305}	
YER186C	P40101		Uncharacterized protein YER186C	
YER187W	P40102		Uncharacterized protein YER187W	
YEL025C	P39991		Uncharacterized protein YEL025C	
YEL057C	P39983		Uncharacterized protein YEL057C	
YEL068C	P39977		Uncharacterized protein YEL068C	
YER097W	P40062		Putative uncharacterized protein YER097W	
YDL072C	Q07451	YET3	Endoplasmic reticulum transmembrane protein 3	
YFL015C	P43578		Putative uncharacterized protein YFL015C	
YFL063W	P43541		Putative UPF0320 protein YFL063W	
YFL065C	P43539		Uncharacterized protein YFL065C	
YFL068W	P0CX99		UPF0479 membrane protein YFL068W	
YFR018C	P43599		Uncharacterized protein YFR018C	
YFL012W-A	Q03186		Putative uncharacterized protein YFL012W-A	
YGL007C-A	Q8TGU0		Uncharacterized protein YGL007C-A	
YGR035W-A	Q45U48		Uncharacterized protein YGR035W-A	
YGR068W-A	Q8TGN8		Putative uncharacterized protein YGR068W-A	
YGR027W-B	Q12141	TY1B-GR1	Transposon Ty1-GR1 Gag-Pol polyprotein	YGRWTy1-1 POL
YGR161C-D	Q12316	TY1B-GR3	Transposon Ty1-GR3 Gag-Pol polyprotein	YGRCTy1-3 POL
YGR038C-E	P0C2J2	TY2A-GR1	Transposon Ty2-GR1 Gag polyprotein	YGRCTy2-1 GAG
YGR053C	P53234		Uncharacterized protein YGR053C	
YGR161W-B	P0CX64	TY2B-GR2	Transposon Ty2-GR2 Gag-Pol polyprotein	YGRWTy2-2 POL
YGR073C	P53247		Putative uncharacterized protein YGR073C	
YGR139W	P53284		Putative uncharacterized protein YGR139W	
YGR160W	P53288		Putative uncharacterized protein YGR160W	
YGR219W	P53307		Uncharacterized protein YGR219W	
YGR259C	P53321		Putative uncharacterized protein YGR259C	
YGR269W	P40326		Uncharacterized protein YGR269W	
YGL015C	P33199		Uncharacterized protein YGL015C	
YGL069C	P53162		Putative uncharacterized protein YGL069C	
YGL088W	P53151		Putative uncharacterized protein YGL088W	
YGL101W	P53144		HD domain-containing protein YGL101W	
YGL140C	P53120		Uncharacterized membrane protein YGL140C	
YGL188C	P53098		Putative uncharacterized protein YGL188C	
YGL262W	P53054		Putative uncharacterized protein YGL262W	
YHR028W-A	A0A023PXE8		Putative uncharacterized protein YHR028W-A {ECO:0000305}	
YHL048C-A	Q3E758		Uncharacterized protein YHL048C-A	
YHL050W-A	P0C5B8		Putative UPF0479 protein YHL050W-A	
YHR056W-A	A0A023PXL7		Putative uncharacterized membrane protein YHR056W-A {ECO:0000305}	
YHR086W-A	Q3E746		Uncharacterized protein YHR086W-A	
YHR214C-C	P0C2I4	TY1A-H	Transposon Ty1-H Gag polyprotein	YHRCTy1-1 GAG
YHR137C-A	Q8TGN6		Putative uncharacterized protein YHR137C-A	
YHR180C-B	P0C5N5		Putative uncharacterized protein YHR180C-B	
YHR219W	P38900		Putative uncharacterized protein YHR219W	
YHR213W-A	Q8TGT4		Uncharacterized protein YHR213W-A	
YHR212W-A	P0CX91		Uncharacterized protein YHR212W-A	
YHR032W-A	P0C5N6		Uncharacterized protein YHR032W-A	
YHR073W-A	P0C5N7		Uncharacterized protein YHR073W-A	
YHL049C	P38722		Uncharacterized protein YHL049C	
YIL082W-A	Q7LHG5	TY3B-I	Transposon Ty3-I Gag-Pol polyprotein	YILWTy3-1 POL
YPL201C	Q08956	YIG1	Protein YIG1	
YIL163C	P40448		Uncharacterized protein YIL163C	
YIL169C	P40442		Putative uncharacterized protein YIL169C precursor	
YIR040C	P40584		Putative UPF0377 protein YIR040C	
YIR043C	P40587		Putative uncharacterized protein YIR043C	
YJR030C	P47101		UPF0508 protein YJR030C	
YJL064W	P47038		Putative uncharacterized protein YJL064W	
YJL107C	P42947		Uncharacterized UPF0442 protein YJL107C	
YJL222W-A	P0CL26		Putative UPF0377 protein YJL222W-A	
YJL132W	P47014		Uncharacterized protein YJL132W	
YJL182C	P46986		Putative uncharacterized protein YJL182C	
YJL193W	P39542		Uncharacterized transporter YJL193W	
YJR008W	P47085		MEMO1 family protein YJR008W	
YJR012C	P47087		Uncharacterized protein YJR012C	
YJR023C	P47094		Putative uncharacterized protein YJR023C	
YKL063C	P35725		Uncharacterized protein YKL063C	
YKL071W	P36086		Uncharacterized oxidoreductase YKL071W	
YKL091C	P33324		CRAL-TRIO domain-containing protein YKL091C	
YKR015C	P36111		Uncharacterized protein YKR015C	
YLR001C	Q07895		FAS1 domain-containing protein YLR001C precursor	
YLL019W-A	Q8TGM8		Putative uncharacterized protein YLL019W-A	
YLR099W-A	Q3E798		Uncharacterized protein YLR099W-A	
YLR125W	Q12138		Putative uncharacterized protein YLR125W	
YLR146W-A	Q2V2P1		Coiled-coil domain-containing protein YLR146W-A	
YLR156W	P0CE96		Putative uncharacterized protein YLR156W	
YLR154C-H	P0CY02		Uncharacterized protein YLR154C-H	
YLR161W	P0CE98		Putative uncharacterized protein YLR161W	
YLR177W	Q06251		Uncharacterized protein YLR177W	
YLR217W	O13532		Putative uncharacterized protein YLR217W	
YLR224W	Q05947		F-box protein YLR224W	
YLR232W	O13546		Putative uncharacterized protein YLR232W	
YLR252W	O13573		Putative uncharacterized protein YLR252W	
YLR269C	O13550		Putative uncharacterized protein YLR269C	
YLR282C	O13542		Putative uncharacterized protein YLR282C	
YLR415C	O13578		Putative uncharacterized protein YLR415C, mitochondrial precursor	
YLR419W	Q06698		Putative ATP-dependent RNA helicase YLR419W	
YLR434C	O13576		Putative uncharacterized protein YLR434C	
YLR446W	Q06204		Putative hexokinase YLR446W	
YLL066W-B	Q8TGJ7		Uncharacterized protein YLL066W-B	
YML034C-A	A0A023PXP7		Putative uncharacterized protein YML034C-A {ECO:0000305}	
YML047W-A	A0A023PZG9		Putative uncharacterized membrane protein YML047W-A {ECO:0000305}	
YMR052C-A	Q6B0Y6		Putative uncharacterized protein YMR052C-A	
YMR086C-A	Q6Q571		Putative uncharacterized protein YMR086C-A	
YML099W-A	Q6B2I9		Putative uncharacterized protein YML099W-A	
YMR105W-A	Q8TGS8		Uncharacterized protein YMR105W-A	
YML040W	P0CX76	TY1A-ML2	Transposon Ty1-ML2 Gag polyprotein	YMLWTy1-2 GAG
YMR046C	Q04215	TY1A-MR1	Transposon Ty1-MR1 Gag polyprotein	YMRCTy1-3 GAG
YMR051C	P0CX69	TY1A-MR2	Transposon Ty1-MR2 Gag polyprotein	YMRCTy1-4 GAG
YMR141C	P40211		Putative uncharacterized protein YMR141C	
YMR242W-A	Q8TGS6		Uncharacterized protein YMR242W-A	
YMR147W	P40218		Uncharacterized protein YMR147W	
YML031C-A	A0A023PXH2		Putative uncharacterized membrane protein YML031C-A {ECO:0000305}	
YMR166C	Q03829		Uncharacterized mitochondrial carrier YMR166C	
YMR226C	Q05016		NADP-dependent 3-hydroxy acid dehydrogenase {ECO:0000303|PubMed:12535615}	
YMR254C	Q04838		Putative uncharacterized protein YMR254C	
YMR310C	Q04867		Putative methyltransferase YMR310C {ECO:0000305}	
YNL276C	P53837		Putative uncharacterized protein YNL276C	
YNL108C	P53929		Uncharacterized protein YNL108C	
YNL134C	P53912		Uncharacterized protein YNL134C	
YNL228W	P53862		putative uncharacterized membrane protein YNL228W precursor	
YOR012W	Q12351		Uncharacterized protein YOR012W	
YOL038C-A	Q3E7Z9		Uncharacterized protein YOL038C-A	
YOL046C	Q08216		Putative uncharacterized protein YOL046C	
YOR062C	P36025		Uncharacterized protein YOR062C	
YOL097W-A	Q3E7Y9		Uncharacterized protein YOL097W-A	
YOR105W	Q08504		Uncharacterized protein YOR105W	
YOR170W	Q08543		Putative uncharacterized protein YOR170W	
YOL019W-A	Q8TGS2		Uncharacterized protein YOL019W-A	
YOR214C	Q12282		Cell wall protein YOR214C precursor	
YOR192C-B	Q12113	TY2B-OR1	Transposon Ty2-OR1 Gag-Pol polyprotein	YORCTy2-1 POL
YOR238W	Q08634		Uncharacterized protein YOR238W	
YOR277C	Q08736		Putative uncharacterized protein YOR277C	
YOR289W	Q12012		Uncharacterized protein YOR289W	
YOR338W	Q99326		SWIRM domain-containing protein YOR338W	
YOR366W	Q08872		Putative uncharacterized protein YOR366W	
YOR392W	Q08915		Putative uncharacterized protein YOR392W	
YOL083C-A	P0C5R4		Uncharacterized protein YOL083C-A	
YOR053W	Q08428		Putative uncharacterized protein YOR053W	
YOR396C-A	P0CL40		Putative UPF0479 protein YOR396C-A	
YPR012W	Q04203		Putative uncharacterized protein YPR012W	
YPR036W-A	Q3E752		Uncharacterized protein YPR036W-A	
YPR064W	Q12492		Putative uncharacterized protein YPR064W	
YPR076W	O13582		Putative uncharacterized protein YPR076W	
YPR084W	Q06821		Uncharacterized protein YPR084W	
YPR091C	Q06833		Uncharacterized PH domain-containing protein YPR091C	
YPL135C-A	Q8TGK9		Putative uncharacterized protein YPL135C-A	
YPR158C-C	Q6Q5H1	TY1A-PR3	Transposon Ty1-PR3 Gag polyprotein	YPRCTy1-4 GAG
YPL152W-A	Q8TGR9		Uncharacterized protein YPL152W-A	
YPL162C	Q12042		Vacuolar membrane protein YPL162C	
YPL185W	Q08927		Putative uncharacterized protein YPL185W	
YPL199C	Q08954		Smr domain-containing protein YPL199C	
YPR204W	Q08995		Y' element ATP-dependent helicase YPR204W	
YPL225W	Q08971		Protein PBDC1 homolog	
YPL250W-A	P0C5S0		Putative uncharacterized protein YPL250W-A	
YPL260W	Q08977		UPF0662 protein YPL260W	
YPL278C	Q08990		Putative uncharacterized protein YPL278C	
YER039C-A	P0CD97		Uncharacterized protein YER039C-A	
YGL164C	P53107	YRB30	Ran-specific GTPase-activating protein 30	
YDR545W	P0CX20	YRF1-1	Y' element ATP-dependent helicase protein 1 copy 1	
YLR467W	P0CX21	YRF1-5	Y' element ATP-dependent helicase protein 1 copy 5	
YBR054W	P38079	YRO2	Protein YRO2	
YCR061W	P25639		Uncharacterized membrane protein YCR061W precursor	
YCR087W	P25652		Putative uncharacterized protein YCR087W	
YCR101C	P25607		Uncharacterized protein YCR101C	
YDL025W-A	Q8TGP7		Putative uncharacterized protein YDL025W-A	
YDR056C	Q12025		Uncharacterized protein YDR056C precursor	
YDL073W	Q07454		UPF0592 protein YDL073W	
YDL109C	Q12103		Putative lipase YDL109C	
YDL144C	Q07589		Uncharacterized protein YDL144C	
YDR316W-B	P0C2I2	TY1B-DR5	Transposon Ty1-DR5 Gag-Pol polyprotein	YDRWTy1-4 POL
YDL163W	Q12148		Putative uncharacterized protein YDL163W	
YDR179W-A	Q03983		Uncharacterized protein YDR179W-A	
YDL186W	P48568		Uncharacterized protein YDL186W	
YDR203W	A0A023PXI4		Putative uncharacterized protein YDR203W {ECO:0000305} precursor	
YDL211C	Q12121		Uncharacterized protein YDL211C	
YDR034C-C	Q12392	TY2A-DR1	Transposon Ty2-DR1 Gag polyprotein	YDRCTy2-1 GAG
YDR220C	Q04923		Putative uncharacterized protein YDR220C	
YDR261W-A	Q99303	TY2A-DR3	Transposon Ty2-DR3 Gag polyprotein	YDRWTy2-3 GAG
YDR524C-A	Q8TGR6		Putative uncharacterized protein YDR524C-A	
YDR271C	P87282		Putative uncharacterized protein YDR271C	
YDR327W	P87288		Putative uncharacterized protein YDR327W	
YDR355C	P87285		Putative uncharacterized protein YDR355C	
YDR387C	Q04162		Probable metabolite transport protein YDR387C	
YDR426C	P87268		Putative uncharacterized protein YDR426C	
YDR442W	P87270		Putative uncharacterized protein YDR442W	
YDR455C	P87271		Putative uncharacterized protein YDR455C	
YDR133C	Q03904		Putative uncharacterized protein YDR133C	
YEL009C-A	A0A023PZF2		Putative uncharacterized protein YEL009C-A {ECO:0000305}	
YER023C-A	Q8TGP2		Putative uncharacterized protein YER023C-A	
YEL030C-A	Q8TGR5		Putative uncharacterized protein YEL030C-A	
YEL034C-A	Q02217		Putative uncharacterized protein YEL034C-A	
YER067C-A	A0A023PYE4		Putative uncharacterized membrane protein YER067C-A {ECO:0000305}	
YEL006W	P39953	YEA6	Mitochondrial nicotinamide adenine dinucleotide transporter 2	NDT2
YEL010W	P40000		Putative uncharacterized protein YEL010W	
YER034W	P40022		Uncharacterized protein YER034W	
YER158C	P40095		Uncharacterized protein YER158C	
YFL019C	P43576		Putative uncharacterized protein YFL019C	
YFL040W	P43562		Probable metabolite transport protein YFL040W	
YFL051C	P43552		Uncharacterized membrane protein YFL051C precursor	
YFL052W	P43551		Uncharacterized transcriptional regulatory protein YFL052W	
YFR035C	P43608		Uncharacterized protein YFR035C	
YFL057C	P43546		Putative aryl-alcohol dehydrogenase YFL057C {ECO:0000305}	
YFR045W	P43617		Uncharacterized mitochondrial carrier YFR045W	
YGR122C-A	P0C5N2		Putative uncharacterized protein YGR122C-A	
YGR146C-A	Q8TGT9		Uncharacterized protein YGR146C-A	
YGR021W	P53212		Probable transcriptional regulatory protein HAH1	
YGR026W	P53217		Uncharacterized membrane protein YGR026W	
YGR050C	P53231		Uncharacterized protein YGR050C	
YGR038C-D	Q12337	TY2B-GR1	Transposon Ty2-GR1 Gag-Pol polyprotein	YGRCTy2-1B POL
YGR038C-C	Q12337	TY2B-GR1	Transposon Ty2-GR1 Gag-Pol polyprotein	YGRCTy2-1B POL
YGR067C	P53243		Zinc finger protein YGR067C	
YGR137W	P53282		Putative uncharacterized protein YGR137W	
YGR153W	P48238		Uncharacterized protein YGR153W	
YGR201C	P42936		Putative elongation factor 1 gamma homolog	
YGR228W	P53308		Putative uncharacterized protein YGR228W	
YGR290W	P53339		Putative uncharacterized membrane protein YGR290W	
YGL041C	P53182		Putative uncharacterized protein YGL041C	
YGL081W	P53156		Uncharacterized protein YGL081W	
YGL114W	P53134		Putative oligopeptide transporter YGL114W	
YNL160W	P38616	YGP1	Protein YGP1 precursor	
YGL185C	P53100		Putative 2-hydroxyacid dehydrogenase YGL185C	
YGL218W	P53084		Putative uncharacterized protein YGL218W	
YGL235W	P53071		Uncharacterized protein YGL235W	
YHL019W-A	A0A023PXL1		Putative uncharacterized membrane protein YHL019W-A {ECO:0000305}	
YHR032C-A	Q8TGT5		Putative uncharacterized protein YHR032C-A	
YHR052W-A	P0CL32		Putative uncharacterized protein YHR052W-A	
YHR063W-A	A0A023PZE1		Putative uncharacterized membrane protein YHR063W-A {ECO:0000305}	
YHR145C	O13537		Putative uncharacterized protein YHR145C	
YHR217C	P38898		Putative uncharacterized protein YHR217C	
YHR214C-E	Q8TGK0		Putative uncharacterized protein YHR214C-E	
YHR219C-A	P0CL34		Putative UPF0479 protein YHR219C-A	
YHL005C	P38752		Putative uncharacterized protein YHL005C	
YHL041W	P38730		Putative uncharacterized protein YHL041W	
YHR138C	P38841		Uncharacterized protein YHR138C precursor	
YHR213W	P0CI67		Uncharacterized protein YHR213W	
YHR182W	P38870		Uncharacterized protein YHR182W	
YIL002W-A	Q3E7Z5		Uncharacterized protein YIL002W-A	
YIR017W-A	Q03885		Putative uncharacterized protein YIR017W-A	
YIR021W-A	Q3E739		Uncharacterized protein YIR021W-A	
YIL134C-A	Q45U18		Uncharacterized protein YIL134C-A	
YIL012W	P40551		Putative uncharacterized protein YIL012W	
YIL024C	P40543		Uncharacterized protein YIL024C	
YIL029C	P40538		Uncharacterized protein YIL029C	
YNL263C	P53845	YIF1	Protein transport protein YIF1	
YIL067C	P40514		Uncharacterized protein YIL067C	
YIL077C	P40508		Uncharacterized protein YIL077C	
YIL102C	P40488		Uncharacterized protein YIL102C	
YGR172C	P53039	YIP1	Protein transport protein YIP1	
YGL161C	P53108	YIP5	Protein YIP5	
YIL165C	P40446		Putative nitrilase-like protein YIL165C	
YIL177C	P40434		Y' element ATP-dependent helicase YIL177C	
YIR044C	P40588		Putative uncharacterized protein YIR044C	
YJL020W-A	Q8TGN2		Putative uncharacterized protein YJL020W-A	
YJL052C-A	Q3E837		Uncharacterized protein YJL052C-A precursor	
YJR056C	P47115		Uncharacterized protein YJR056C	
YJR079W	P47126		Uncharacterized protein YJR079W	
YJR107W	P47145		Putative lipase YJR107W	
YJL022W	P47066		Putative uncharacterized protein YJL009W	
YJL118W	P47022		Uncharacterized protein YJL118W	
YJL169W	P46994		Putative uncharacterized protein YJL169W	
YKL023C-A	Q2V2P3		Uncharacterized protein YKL023C-A	
YKR040C	P36133		Putative uncharacterized protein YKR040C	
YKR041W	P36134		Uncharacterized protein YKR041W	
YKR075C	P36155		Uncharacterized protein YKR075C	
YKL031W	P36098		Putative uncharacterized protein YKL031W	
YKL077W	P36081		Uncharacterized protein YKL077W	
YKL107W	P34251		Uncharacterized oxidoreductase YKL107W	
YKL177W	P34238		Putative uncharacterized protein YKL177W	
YKL196C	P36015	YKT6	Synaptobrevin homolog YKT6 precursor	
YKL222C	P35995		Uncharacterized transcriptional regulatory protein YKL222C	
YLL006W-A	Q3E814		Uncharacterized protein YLL006W-A	
YLL017W	P0CF33		Putative truncated guanine nucleotide exchange factor YLL017W	
YLR031W	Q07978		Putative uncharacterized protein YLR031W	
YLL037W	Q07865		Putative uncharacterized protein YLL037W	
YLR042C	Q07990		Cell wall protein YLR042C precursor	
YLR049C	Q12110		Uncharacterized protein YLR049C	
YLL066C	Q99208		Y' element ATP-dependent helicase YLL066C	
YLR111W	Q12528		Putative uncharacterized protein YLR111W	
YLR112W	Q12130		Putative uncharacterized protein YLR112W	
YLR120W-A	Q8TGR1		Putative uncharacterized protein YLR120W-A	
YLR122C	Q12312		Putative uncharacterized protein YLR122C	
YLR157C-A	P0CX72	TY1A-LR2	Transposon Ty1-LR2 Gag polyprotein	YLRCTy1-2 GAG
YLR157C-B	P0C2I5	TY1B-LR2	Transposon Ty1-LR2 Gag-Pol polyprotein	YLRCTy1-2 POL
YLR227W-A	P0CX75	TY1A-LR3	Transposon Ty1-LR3 Gag polyprotein	YLRWTy1-3 GAG
YLR307C-A	Q3E825		Uncharacterized protein YLR307C-A	
YLR326W	Q06170		Uncharacterized membrane protein YLR326W	
YLR345W	Q06137		Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W	
YLR365W	Q7LIF2		Putative uncharacterized protein YLR365W	
YLR437C-A	Q8TGR0		Putative uncharacterized protein YLR437C-A	
YLR400W	Q06051		Putative uncharacterized protein YLR400W	
YLR462W	O13556		Putative uncharacterized protein YLR462W	
YMR013W-A	P0C5Q2		Putative uncharacterized protein YMR013W-A	
YMR111C	Q04461		Uncharacterized protein YMR111C	
YMR114C	Q04471		Putative peptidase YMR114C	
